Wavelength,W100000.asd,W100001.asd,W100002.asd,W100003.asd,W100004.asd,W100005.asd,W100006.asd,W100007.asd,W100008.asd,W100009.asd,W100010.asd,W100011.asd,W100012.asd,W100013.asd,W100014.asd,W100015.asd,W100016.asd,W100017.asd,W100018.asd,W100019.asd,W100020.asd,W100021.asd,W100022.asd,W100023.asd,W100024.asd,W100025.asd,W100026.asd,W100027.asd,W100028.asd,W100029.asd,W100030.asd,W100031.asd,W100032.asd,W100033.asd,W100034.asd,W100035.asd,W100036.asd,W100037.asd,W100038.asd,W100039.asd,W100040.asd,W100041.asd,W100042.asd,W100043.asd,W100044.asd,W100045.asd,W100046.asd,W100047.asd,W100048.asd,W100049.asd,W100050.asd,W100051.asd,W100052.asd,W100053.asd,W100054.asd,W100055.asd,W100056.asd,W100057.asd,W100058.asd,W100059.asd,W100060.asd,W100061.asd,W100062.asd,W100063.asd,W100064.asd,W100065.asd,W100066.asd,W100067.asd,W100068.asd,W100069.asd,W100070.asd,W100071.asd,W100072.asd,W100073.asd,W100074.asd,W100075.asd,W100076.asd,W100077.asd,W100078.asd,W100079.asd,W100080.asd
325,419.6413477,6.415951886,7.553107542,13.9915052,11.63418487,10.45288833,8.133255461,9.474931465,11.50068995,14.56608725,12.0917144,13.64007656,5.837052958,22.71213667,21.52897169,10.57767137,6.920928551,16.18570761,1.3435796,16.97601562,-0.98793654,20.76830484,16.05451546,9.656929997,8.976969321,14.3268214,13.89604773,6.583601633,13.13329224,7.429875513,3.105738939,11.78575648,12.35330306,5.995301389,4.983212503,10.14583314,18.1637598,3.126411865,23.53673992,19.73826243,18.88204677,21.94709316,22.77472712,23.18053617,20.45090938,17.32576002,8.275270544,18.02578284,25.17786638,23.63515333,19.91652076,11.30009342,19.50146099,23.10383937,26.145954,11.53923129,15.01125054,18.77769399,14.84266114,25.41234536,19.79453689,19.25881922,11.43543841,17.92418565,9.623390947,15.62585122,11.25233348,22.93904217,10.40732226,10.40642856,34.52958772,20.54647434,18.50839259,27.10918646,23.01902097,21.11752028,23.75357386,18.32414267,1.961315438,22.66244122,15.46083424
326,518.4811558,22.14486772,18.38164011,16.92964407,13.03378085,16.95858848,17.76229121,24.66574579,16.59815585,19.64709531,24.87246659,14.71153311,6.443391066,23.09161785,17.69337793,13.92388648,10.21066979,8.939916615,-1.150081881,12.60676444,12.27903509,21.58916198,25.673697,14.61903597,4.205113776,17.61671746,2.565129989,15.30118854,6.693970135,22.31121912,13.19641213,19.15756197,26.46231713,20.02886488,21.47154827,16.2291198,21.3592604,16.81049412,28.70067514,28.41247172,29.49670971,19.1558676,29.89693637,31.28948837,28.35174549,25.19861352,20.60742726,24.16220303,18.99833679,31.29215551,26.54805592,28.28619644,31.68770618,36.45670067,29.61216084,29.68407947,23.87475783,27.59321755,35.46215914,39.85736441,24.61869909,19.47680937,20.73623466,23.87455356,22.09771904,30.97764625,27.17858024,27.04943813,21.18686303,14.80438287,34.67553288,34.96476226,22.05694233,25.37388337,31.35008684,28.85925182,36.79596459,19.19537382,6.298027876,28.6174557,34.33972061
327,644.8452986,21.6473594,22.6996978,16.37768045,14.41153424,21.98724028,17.12069246,30.03909885,14.13375814,24.56080871,32.67568725,12.04690296,13.32112455,22.43099448,14.46967441,16.60064332,18.38070064,5.28241306,7.263922054,17.21015206,16.09385517,23.6432179,29.55726386,20.19487556,6.970233968,19.9433561,3.579997376,22.16001567,10.08561413,26.60025431,18.17971758,19.08817353,28.38295823,23.50625467,30.42352717,17.01010373,25.04834788,26.66853898,29.50270317,29.96294664,28.79963417,24.33264997,31.33723474,32.93139495,30.65906522,29.70854391,29.76417814,26.04388753,30.2021787,36.95377846,35.04244414,39.13826045,34.99521951,48.71668371,34.04198886,43.74388637,31.90393468,28.79917961,45.90509206,43.02498892,30.1488197,26.15520212,24.18800305,30.22458006,29.16493409,29.32282048,36.13390796,36.64398371,35.77440596,25.27372137,34.46337169,44.56041241,31.54736363,25.72153179,36.52152686,33.2207316,41.65510054,31.39365776,19.37922221,37.22050661,40.74823229
328,800.4958209,9.424604709,19.08137822,14.52875628,15.58925151,24.36164658,10.17119135,23.5325773,9.553499729,24.58816117,31.29183624,6.320142907,20.82530821,20.46378897,12.67384565,18.24919391,23.90026352,6.497348564,17.84013281,24.79290724,12.22888451,25.41024007,27.33814964,23.63769912,15.45939919,20.88421489,13.48306589,23.5197467,19.72422943,23.29502088,16.92510292,16.0426156,22.01522896,17.89454286,29.58780541,14.85467507,26.41934352,30.08719993,28.17958866,27.45858682,21.52108874,31.5694239,31.30390257,31.02487984,29.67111271,32.15588201,33.64544716,26.34894825,49.92754743,40.68859403,42.68312287,39.18112647,33.3780757,55.04617336,39.36403635,50.0252308,37.07355399,26.54770266,45.96848231,37.41197345,33.6399104,34.91634044,23.34962803,35.70194468,31.57723003,17.88081288,36.70113834,45.85070991,45.00084468,37.29705393,35.87721274,46.31110653,41.2803642,29.69289418,40.63340324,35.16179208,40.92697843,47.89280676,34.42603517,44.94878181,36.72315312
329,986.2168634,4.132314306,11.99698446,14.45327256,15.97762314,22.61362658,12.93938819,9.069283776,16.10042156,9.345748237,19.55902125,-2.031141051,14.8899569,13.39442952,7.370398565,20.00815789,10.70903289,5.227296268,6.310989612,12.54820931,14.99725634,21.85567626,22.40120891,19.14293373,20.4936004,17.90203571,13.76779785,16.13043859,20.76657585,27.79613832,11.20471974,23.96042751,25.1162625,13.66032771,25.30145002,18.69754045,18.34464188,27.11674661,29.13707694,29.81270046,23.28222919,20.39471506,40.34659241,33.50884493,33.41013485,36.8050306,34.49587115,32.13359332,47.95622685,43.51618809,43.54424655,24.16705272,41.13081279,51.19294929,44.6437523,49.78814415,37.78071901,31.91370254,46.1760804,36.47609354,29.38827438,30.87761233,28.57303343,38.36204979,36.57975148,20.3938033,35.29654881,40.35453504,31.98433766,41.32133431,39.06046711,39.30370592,37.40720437,38.17657167,51.38920074,39.71789103,46.64064427,46.97635343,36.68212595,42.82060267,36.50606738
330,1195.590843,8.704877727,11.26106328,21.66897505,21.84591871,22.28762584,22.74463666,11.39101414,25.55315839,8.466052021,24.20158,8.710223587,17.76647531,17.1739272,19.27690865,25.72891773,15.50958713,13.62503314,8.010454657,11.38830479,22.47329744,32.1392417,29.13515454,22.64380021,25.90723919,18.4093894,18.22755949,17.07055725,23.97625599,37.19662592,15.96468228,30.69825636,31.99366696,25.40498444,31.49107421,30.37125758,28.29551361,34.08163439,35.86035523,31.36630912,33.80549222,28.868919,49.87526712,41.71023,44.34959333,46.38411268,40.30223695,45.24103833,50.15688463,54.5879401,50.03426481,26.92880584,59.88688008,62.53508267,60.49308161,57.0067298,40.7847122,38.39551601,54.94770197,50.18440226,33.13131716,33.82557078,36.29680109,49.25775244,45.93746652,35.10170372,43.57025529,44.91428502,29.11949648,42.37033434,48.04171537,44.68759635,48.52058882,50.49349908,59.53653945,46.73439567,62.08252606,55.56496711,42.73011812,51.34272216,41.83424491
331,1422.63083,20.34543083,18.83771647,33.14492283,31.76744756,25.82725355,35.35393765,30.91718643,32.8034142,24.90242311,43.52231207,33.99461929,31.31799409,30.50420542,44.84414078,35.53796409,38.50522755,28.50781746,25.79067762,24.70774336,31.66272152,51.87375799,44.97080499,34.53655658,31.85399871,24.56520841,27.58135445,26.79381463,30.74684187,47.62453023,31.78307075,34.35134583,40.19815554,48.8675958,47.68330695,45.75678782,54.69179542,49.583771,46.62765705,33.13445741,49.06287022,56.16445424,57.62743208,54.15411417,58.99607141,59.22006903,52.76241566,62.61457283,60.7665155,71.40820715,62.95044277,50.8640035,82.84079817,89.59200575,84.4090495,73.93637971,47.94655131,45.81179739,70.61406411,74.45379026,47.21616915,45.67583929,46.5346457,66.20834713,57.92246233,55.029982,62.05021521,62.72519479,44.05703789,44.33279081,61.81040446,62.90158868,74.32682818,66.06936078,64.08332236,55.98526739,82.83448538,76.04714533,55.47088661,70.49052889,51.95012507
332,1661.959846,23.19788203,27.95457252,30.66818373,32.78131248,35.8312491,37.56863237,37.02154155,28.86275245,33.09313552,37.03049779,31.07810143,35.84350091,29.14123423,48.02237834,46.24276861,36.37383706,24.12370828,28.09758256,28.73738485,31.85500952,41.27279237,42.70547638,37.02404841,36.01105641,34.79535379,29.99717114,24.27546491,34.51909976,47.07430738,42.18686981,42.36423094,46.07861862,49.83983518,54.30365282,47.50275616,59.0293266,46.690986,50.56813898,44.02985613,53.23784417,53.07738988,66.22259552,62.87722296,60.74746144,66.1809593,68.24252908,71.68368695,64.25858367,72.89304897,70.07234607,67.26215851,82.02044925,103.027395,95.51330207,90.7779165,57.10734643,60.42155439,75.43866632,81.88650448,61.25460634,49.41588828,64.03841322,67.21775181,63.21107123,54.74262479,77.81134977,76.66435406,64.82434358,54.57357554,72.66543204,67.73826084,80.56796092,86.23295581,72.65464855,66.60679665,88.15646242,86.65370422,66.55781325,74.76299618,59.23024028
333,1899.551923,23.78057201,38.34751335,29.63157306,35.52778375,39.86922526,39.70294494,40.95084472,25.18116676,37.41044221,31.64829843,25.17481239,38.96092102,27.16934273,43.74292313,51.31079378,30.2647923,23.07874585,28.65957123,27.50564732,36.23322775,35.38886797,36.65312794,36.32582028,38.42054892,44.9356782,30.83033245,26.1744803,37.8738197,46.4400566,48.00321609,48.96389,52.07093562,47.53677753,56.32207305,48.65096562,59.03426697,48.1178712,54.32085236,57.93581171,58.66611523,53.62256695,71.7894891,73.05645091,64.92050368,70.35086617,78.97182193,76.41536564,75.18287318,77.88392734,76.63453385,77.72317641,84.64733233,113.5821345,103.5955623,105.1548881,66.44188097,75.60180206,76.79795108,83.66049219,72.03841613,55.20494414,75.33472732,72.0656856,68.47774185,55.9499547,88.80772102,83.749946,81.40576696,69.94251355,80.96783901,75.27667585,81.19646746,98.15027191,80.08874627,76.0033316,92.91490824,91.26462828,74.38091288,81.36779601,68.99944608
334,2120.400094,26.21597163,48.16838022,37.9871667,44.12449943,32.94647567,46.62383419,48.63906194,28.61510251,40.02873831,41.19244464,31.2983466,44.68675062,32.43355443,42.13005058,48.28795722,32.94058297,35.51052747,34.66037647,25.78375673,49.50391699,51.34965439,36.10466833,37.96135117,38.87801485,51.51821361,33.52598416,39.50226906,42.59173052,52.25762578,50.55488921,51.52005506,58.32509094,52.80654071,57.2098534,55.61539397,65.31752905,64.49473189,60.87858083,69.1375095,70.8106003,73.9784277,72.09083337,85.58730574,77.88055514,73.60320511,81.32459104,79.35797473,97.37584928,95.0141016,85.74025531,83.21002502,103.5442977,126.8301677,114.2416986,114.9577982,74.67793386,86.36133677,80.39418687,86.80950543,77.78795643,67.20347243,74.50393907,89.51623838,77.64367452,70.05673125,94.24547929,83.78253717,87.74156642,85.79421184,87.08237454,92.31968725,84.91051663,96.35638145,84.4258791,82.51219829,104.1470645,93.76919691,78.72580063,98.37793521,82.56530364
